height,weight,sixty_time,exit_velo_max,exit_velo_avg,distance_max,inf_velo,three_section_commit_group,primary_position_2B,primary_position_3B,primary_position_SS,throwing_hand_R,hitting_handedness_R,hitting_handedness_S,player_region_Northeast,player_region_South,player_region_West,power_speed,size_ratio,arm_strength_size,inf_velo_squared,sixty_time_squared,is_middle_infielder,elite_tools,southern_ss,South_tall,South_power,West_tall,West_power,Northeast_tall,Northeast_power
69.0,167.0,7.55,93.1,86.9,284.0,71.0,0,True,False,False,True,True,False,False,False,True,702.905,11523.0,4899.0,5041.0,57.0025,True,False,False,False,False,False,False,False,False
70.0,143.0,7.56,82.3,77.5,263.0,61.0,0,True,False,False,True,True,False,False,True,False,622.188,10010.0,4270.0,3721.0,57.1536,True,False,False,False,False,False,False,False,False
71.0,175.0,7.3,92.0,88.6,333.0,88.0,0,True,False,False,True,False,False,False,True,False,671.6,12425.0,6248.0,7744.0,53.29,True,False,False,False,False,False,False,False,False
70.0,150.0,7.06,85.3,76.2,217.0,82.0,0,False,False,True,True,True,False,False,False,False,602.218,10500.0,5740.0,6724.0,49.843599999999995,True,False,False,False,False,False,False,False,False
72.0,155.0,7.19,90.5,87.0,329.0,81.0,0,False,False,True,True,False,False,False,False,True,650.695,11160.0,5832.0,6561.0,51.69610000000001,True,False,False,False,False,False,False,False,False
70.0,155.0,7.31,89.2,83.7,281.0,72.0,0,False,True,False,True,True,False,False,False,True,652.052,10850.0,5040.0,5184.0,53.436099999999996,False,False,False,False,False,False,False,False,False
72.0,205.0,8.2,91.6,84.0,316.0,76.0,0,False,False,False,True,True,False,True,False,False,751.1199999999999,14760.0,5472.0,5776.0,67.24,False,False,False,False,False,False,False,False,False
70.0,180.0,7.54,99.3,91.3,329.0,79.0,0,False,False,True,True,True,False,False,False,False,748.722,12600.0,5530.0,6241.0,56.8516,True,False,False,False,False,False,False,False,False
72.0,180.0,6.9,97.7,91.2,375.0,84.0,0,False,False,True,True,True,False,False,True,False,674.1300000000001,12960.0,6048.0,7056.0,47.61000000000001,True,False,True,False,True,False,False,False,False
69.0,170.0,7.6,95.4,85.0,352.0,82.0,0,True,False,False,True,True,False,False,False,True,725.04,11730.0,5658.0,6724.0,57.76,True,False,False,False,False,False,True,False,False
71.0,180.0,7.47,89.7,82.8,315.0,75.0,1,False,False,False,False,True,False,True,False,False,670.059,12780.0,5325.0,5625.0,55.8009,False,False,False,False,False,False,False,False,False
64.0,145.0,7.45,80.9,75.7,239.0,77.0,0,True,False,False,True,True,False,False,False,True,602.705,9280.0,4928.0,5929.0,55.502500000000005,True,False,False,False,False,False,False,False,False
70.0,184.0,7.17,95.6,90.4,337.0,81.0,0,False,True,False,False,True,False,False,True,False,685.452,12880.0,5670.0,6561.0,51.408899999999996,False,False,False,False,True,False,False,False,False
72.0,195.0,7.28,89.6,85.1,316.0,85.0,0,False,True,False,True,True,False,False,False,False,652.288,14040.0,6120.0,7225.0,52.998400000000004,False,False,False,False,False,False,False,False,False
71.0,173.0,6.63,90.2,81.6,309.0,80.0,0,True,False,False,True,True,False,False,True,False,598.026,12283.0,5680.0,6400.0,43.9569,True,False,False,False,False,False,False,False,False
70.0,162.0,7.04,96.2,82.9,348.0,78.0,1,False,False,True,True,True,False,False,False,True,677.248,11340.0,5460.0,6084.0,49.5616,True,False,False,False,False,False,True,False,False
68.0,150.0,6.52,90.9,85.6,318.0,90.0,2,False,False,True,True,False,True,False,False,False,592.668,10200.0,6120.0,8100.0,42.5104,True,False,False,False,False,False,False,False,False
70.0,225.0,7.81,95.9,88.8,344.0,81.0,0,False,False,False,True,True,False,False,False,True,748.979,15750.0,5670.0,6561.0,60.99609999999999,False,False,False,False,False,False,True,False,False
69.0,170.9,7.34,90.4,81.4,310.0,86.0,1,False,False,True,True,True,False,False,False,False,663.5360000000001,11792.1,5934.0,7396.0,53.8756,True,False,False,False,False,False,False,False,False
72.0,165.0,7.19,97.5,91.6,297.0,87.0,1,False,False,True,True,False,False,True,False,False,701.0250000000001,11880.0,6264.0,7569.0,51.69610000000001,True,False,False,False,False,False,False,False,True
71.0,160.0,6.78,92.7,85.4,327.0,81.0,0,False,False,True,True,True,False,False,True,False,628.5060000000001,11360.0,5751.0,6561.0,45.9684,True,False,True,False,False,False,False,False,False
73.0,163.0,6.82,91.2,86.4,341.0,82.0,0,False,False,True,True,True,False,False,False,False,621.984,11899.0,5986.0,6724.0,46.51240000000001,True,False,False,False,False,False,False,False,False
69.0,164.0,7.52,86.2,76.6,328.0,76.0,0,False,True,False,True,True,False,False,False,False,648.2239999999999,11316.0,5244.0,5776.0,56.550399999999996,False,False,False,False,False,False,False,False,False
73.0,185.0,7.15,91.9,86.2,360.0,82.0,0,False,False,True,True,True,False,False,True,False,657.085,13505.0,5986.0,6724.0,51.1225,True,False,True,False,False,False,False,False,False
72.0,169.3,7.4,91.3,82.2,334.0,72.0,0,False,False,False,False,False,False,True,False,False,675.62,12189.6,5184.0,5184.0,54.760000000000005,False,False,False,False,False,False,False,False,False
74.0,208.0,7.24,92.0,75.1,290.0,81.0,2,False,True,False,True,True,False,False,True,False,666.08,15392.0,5994.0,6561.0,52.4176,False,False,False,True,False,False,False,False,False
73.0,205.0,6.89,98.6,92.0,363.0,88.0,1,False,True,False,True,True,False,False,True,False,679.3539999999999,14965.0,6424.0,7744.0,47.4721,False,False,False,False,True,False,False,False,False
74.0,214.3,7.43,95.7,89.6,367.0,88.0,0,False,True,False,True,True,False,False,True,False,711.051,15858.2,6512.0,7744.0,55.204899999999995,False,False,False,True,True,False,False,False,False
72.0,160.0,7.21,78.4,72.1,275.0,72.0,0,False,False,True,True,True,False,False,False,False,565.264,11520.0,5184.0,5184.0,51.9841,True,False,False,False,False,False,False,False,False
74.0,195.0,7.0,96.4,90.8,350.0,90.0,2,False,False,True,True,True,False,False,True,False,674.8000000000001,14430.0,6660.0,8100.0,49.0,True,False,True,True,True,False,False,False,False
72.0,185.0,7.06,97.4,92.1,344.0,90.0,1,False,False,True,True,False,False,False,True,False,687.644,13320.0,6480.0,8100.0,49.843599999999995,True,False,True,False,True,False,False,False,False
68.0,160.0,6.96,88.8,81.8,303.0,78.0,0,False,False,True,True,True,False,False,False,False,618.048,10880.0,5304.0,6084.0,48.4416,True,False,False,False,False,False,False,False,False
72.0,180.0,7.58,88.3,83.8,301.0,81.0,0,False,False,True,True,False,True,False,True,False,669.314,12960.0,5832.0,6561.0,57.4564,True,False,True,False,False,False,False,False,False
71.0,215.0,7.65,96.3,90.8,350.0,76.0,0,False,False,False,True,True,False,False,False,False,736.695,15265.0,5396.0,5776.0,58.52250000000001,False,False,False,False,False,False,False,False,False
75.0,175.0,7.8,91.3,80.0,331.0,79.0,0,False,False,True,True,False,True,False,True,False,712.14,13125.0,5925.0,6241.0,60.839999999999996,True,False,True,True,False,False,False,False,False
71.0,145.0,6.81,92.3,83.7,324.0,85.0,0,False,False,True,True,False,True,True,False,False,628.563,10295.0,6035.0,7225.0,46.376099999999994,True,False,False,False,False,False,False,False,False
70.0,180.0,7.7,94.0,87.3,322.0,81.0,0,False,True,False,True,True,False,False,False,False,723.8000000000001,12600.0,5670.0,6561.0,59.290000000000006,False,False,False,False,False,False,False,False,False
74.0,195.0,7.35,94.0,87.0,302.0,83.0,0,False,True,False,False,True,False,False,False,False,690.9,14430.0,6142.0,6889.0,54.022499999999994,False,False,False,False,False,False,False,False,False
69.0,168.0,8.06,83.5,71.1,277.0,70.0,0,False,False,True,True,True,False,False,False,True,673.01,11592.0,4830.0,4900.0,64.96360000000001,True,False,False,False,False,False,False,False,False
72.0,215.0,8.09,92.9,79.9,324.0,73.0,0,False,False,False,True,True,False,True,False,False,751.561,15480.0,5256.0,5329.0,65.4481,False,False,False,False,False,False,False,False,False
68.0,165.0,6.96,91.1,87.7,322.0,78.0,0,True,False,False,True,True,False,False,True,False,634.0559999999999,11220.0,5304.0,6084.0,48.4416,True,False,False,False,False,False,False,False,False
70.0,170.0,7.74,88.2,83.9,324.0,83.0,0,False,True,False,True,True,False,True,False,False,682.668,11900.0,5810.0,6889.0,59.9076,False,False,False,False,False,False,False,False,False
71.0,185.2,7.42,97.1,88.1,384.0,84.0,0,False,True,False,True,True,False,False,False,False,720.482,13149.199999999999,5964.0,7056.0,55.0564,False,False,False,False,False,False,False,False,False
71.0,180.0,7.36,93.8,90.2,353.0,84.0,1,False,False,True,True,True,False,True,False,False,690.368,12780.0,5964.0,7056.0,54.1696,True,False,False,False,False,False,False,False,False
69.0,175.0,7.36,93.6,85.2,319.0,78.0,0,True,False,False,True,True,False,False,False,False,688.896,12075.0,5382.0,6084.0,54.1696,True,False,False,False,False,False,False,False,False
67.0,146.4,7.15,86.3,75.1,295.0,78.0,0,False,True,False,True,True,False,False,False,True,617.045,9808.800000000001,5226.0,6084.0,51.1225,False,False,False,False,False,False,False,False,False
70.0,165.0,7.25,93.4,83.4,344.0,83.0,0,False,False,True,True,True,False,False,True,False,677.1500000000001,11550.0,5810.0,6889.0,52.5625,True,False,True,False,False,False,False,False,False
69.0,145.0,7.25,97.4,85.9,326.0,79.0,1,False,False,True,True,True,False,False,True,False,706.1500000000001,10005.0,5451.0,6241.0,52.5625,True,False,True,False,True,False,False,False,False
75.0,200.0,8.03,93.3,82.7,328.0,67.0,0,False,False,False,False,False,False,False,False,False,749.199,15000.0,5025.0,4489.0,64.48089999999999,False,False,False,False,False,False,False,False,False
68.0,180.0,7.35,92.3,83.8,355.0,82.0,0,False,True,False,True,False,False,False,False,True,678.405,12240.0,5576.0,6724.0,54.022499999999994,False,False,False,False,False,False,False,False,False
72.0,165.0,7.66,83.0,74.3,313.0,72.0,0,False,False,True,True,False,False,False,False,True,635.78,11880.0,5184.0,5184.0,58.6756,True,False,False,False,False,False,False,False,False
70.0,158.0,7.31,86.6,81.0,316.0,77.0,0,False,False,True,True,True,False,False,False,True,633.0459999999999,11060.0,5390.0,5929.0,53.436099999999996,True,False,False,False,False,False,False,False,False
67.0,160.0,7.11,89.2,80.6,350.0,81.0,1,False,False,True,True,True,False,False,True,False,634.2120000000001,10720.0,5427.0,6561.0,50.5521,True,False,True,False,False,False,False,False,False
72.0,160.0,7.17,90.7,85.9,349.0,76.0,0,False,True,False,True,True,False,False,True,False,650.319,11520.0,5472.0,5776.0,51.408899999999996,False,False,False,False,False,False,False,False,False
70.0,160.0,7.3,87.2,80.7,328.0,78.0,0,False,False,True,True,False,False,True,False,False,636.5600000000001,11200.0,5460.0,6084.0,53.29,True,False,False,False,False,False,False,False,False
74.0,235.0,8.33,94.6,90.2,311.0,82.0,0,False,True,False,True,True,False,False,False,False,788.0179999999999,17390.0,6068.0,6724.0,69.3889,False,False,False,False,False,False,False,False,False
69.0,160.0,7.23,87.6,81.4,283.0,78.0,0,False,False,True,True,True,False,False,False,False,633.348,11040.0,5382.0,6084.0,52.27290000000001,True,False,False,False,False,False,False,False,False
