primary_position,height,weight,throwing_hand,FastballVelocity (max),FastballVelo Range,FastballSpin Rate (avg),Changeup Velo Range,Changeup Spin Rate (avg),Curveball Velo Range,Curveball Spin Rate (avg),Slider Velo Range,Slider Spin Rate (avg),Region,group,num_pitches,fb_ch_velo_diff,fb_cb_velo_diff,fb_sl_velo_diff,FastballVelocity (max)_missing,FastballVelo Range_missing,FastballSpin Rate (avg)_missing,Changeup Velo Range_missing,Changeup Spin Rate (avg)_missing,Curveball Velo Range_missing,Curveball Spin Rate (avg)_missing,Slider Velo Range_missing,Slider Spin Rate (avg)_missing
RHP,71.0,175.0,R,,74.5,,67.5,,68.0,,,,Northeast,D3,3,7.0,6.5,,1,0,1,0,1,0,1,1,1
LHP,74.0,205.0,L,,84.0,,,,71.0,,,,South,Mid Major,2,,13.0,,1,0,1,1,1,0,1,1,1
LHP,75.0,170.0,L,82.0,81.0,1836.0,71.5,1427.0,72.0,1427.0,,,Midwest,D3,3,9.5,9.0,,0,0,0,0,0,0,0,1,1
RHP,77.0,230.0,R,82.8,81.5,2215.0,76.5,2120.0,70.8,2327.0,68.8,2354.0,Northeast,JC,4,5.0,10.700000000000005,12.700000000000005,0,0,0,0,0,0,0,0,0
RHP,76.0,195.0,R,85.0,83.5,,,,67.0,,,,South,JC,2,,16.5,,0,0,1,1,1,0,1,1,1
RHP,73.0,215.0,R,,,,,,,,,,South,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,73.0,175.0,R,,,,,,,,,,West,Low Major,0,,,,1,1,1,1,1,1,1,1,1
RHP,77.0,187.0,R,84.0,82.5,2022.0,75.0,1547.0,63.1,1739.0,74.8,2045.0,Northeast,D2,4,7.5,19.4,7.700000000000003,0,0,0,0,0,0,0,0,0
RHP,74.0,205.0,R,85.8,84.8,2371.0,78.0,2205.0,71.0,2541.0,74.8,2393.0,Midwest,D2,4,6.799999999999997,13.799999999999995,10.0,0,0,0,0,0,0,0,0,0
RHP,73.0,175.0,R,,,,,,,,,,South,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,74.0,195.0,R,89.0,87.0,1689.0,,,72.0,2371.0,,,South,Low Major,2,,15.0,,0,0,0,1,1,0,0,1,1
RHP,78.0,225.0,R,,80.0,,,,67.5,,,,South,D3,2,,12.5,,1,0,1,1,1,0,1,1,1
RHP,75.0,180.0,R,,,,,,,,,,South,JC,0,,,,1,1,1,1,1,1,1,1,1
LHP,78.0,225.0,R,,82.5,,,,71.0,,,,South,Low Major,2,,11.5,,1,0,1,1,1,0,1,1,1
RHP,77.0,195.0,R,88.0,85.5,,75.0,,71.0,,,,South,D2,3,10.5,14.5,,0,0,1,0,1,0,1,1,1
RHP,75.0,190.0,R,87.5,85.0,2337.0,77.0,,71.5,2659.0,,,South,JC,3,8.0,13.5,,0,0,0,0,1,0,0,1,1
LHP,76.0,215.0,L,95.0,93.0,,79.5,,76.0,,,,South,Power 4,3,13.5,17.0,,0,0,1,0,1,0,1,1,1
RHP,71.0,170.0,R,,72.5,,67.0,,56.5,,,,Northeast,D3,3,5.5,16.0,,1,0,1,0,1,0,1,1,1
RHP,71.0,160.0,R,80.0,78.5,,,,70.5,,,,South,D2,2,,8.0,,0,0,1,1,1,0,1,1,1
RHP,73.0,155.0,R,,,,,,,,,,South,D2,0,,,,1,1,1,1,1,1,1,1,1
LHP,74.0,165.0,L,,,,,,,,,,South,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,72.0,160.0,R,,,,,,,,,,Midwest,D2,0,,,,1,1,1,1,1,1,1,1,1
RHP,75.0,170.0,R,86.0,83.0,,,,70.0,,,,South,D2,2,,13.0,,0,0,1,1,1,0,1,1,1
RHP,72.0,170.0,R,,,,,,,,,,South,D3,0,,,,1,1,1,1,1,1,1,1,1
LHP,74.0,165.0,L,82.0,80.0,,74.5,,67.0,,,,South,JC,3,5.5,13.0,,0,0,1,0,1,0,1,1,1
RHP,69.0,170.0,R,83.4,83.1,1862.0,75.0,1681.0,70.0,1991.0,72.0,1692.0,South,JC,4,8.099999999999994,13.099999999999994,11.099999999999994,0,0,0,0,0,0,0,0,0
LHP,73.0,200.0,L,92.0,89.0,2115.0,79.0,1830.0,76.5,2067.0,77.3,2402.0,South,Mid Major,4,10.0,12.5,11.700000000000005,0,0,0,0,0,0,0,0,0
RHP,74.0,205.0,R,93.0,88.0,2041.0,77.5,1852.0,75.5,1859.0,,,Midwest,JC,3,10.5,12.5,,0,0,0,0,0,0,0,1,1
LHP,74.0,185.0,L,86.7,83.8,2253.0,73.0,,71.5,2464.0,,,Midwest,Mid Major,3,10.799999999999995,12.299999999999995,,0,0,0,0,1,0,0,1,1
LHP,70.0,170.0,L,82.4,80.8,1702.0,73.9,1313.0,69.6,1857.0,,,West,JC,3,6.8999999999999915,11.200000000000005,,0,0,0,0,0,0,0,1,1
RHP,74.0,153.0,R,79.0,77.1,1915.0,70.8,1533.0,65.3,2123.0,,,Midwest,D3,3,6.299999999999997,11.799999999999995,,0,0,0,0,0,0,0,1,1
LHP,74.0,140.0,L,79.0,77.5,,71.0,,62.5,,,,South,Low Major,3,6.5,15.0,,0,0,1,0,1,0,1,1,1
RHP,74.0,195.0,R,,,,,,,,,,South,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,77.0,230.0,R,87.5,86.0,2038.0,76.0,1616.0,76.5,2165.0,70.5,2163.0,West,JC,4,10.0,9.5,15.5,0,0,0,0,0,0,0,0,0
LHP,74.0,175.0,R,,,,,,,,,,Northeast,Low Major,0,,,,1,1,1,1,1,1,1,1,1
RHP,67.0,163.0,R,,,,,,,,,,Northeast,D3,0,,,,1,1,1,1,1,1,1,1,1
RHP,72.0,189.0,R,83.0,79.0,2065.0,,,67.5,1723.0,,,South,JC,2,,11.5,,0,0,0,1,1,0,0,1,1
RHP,74.0,170.0,R,,87.0,,77.5,,75.0,,,,South,Mid Major,3,9.5,12.0,,1,0,1,0,1,0,1,1,1
RHP,74.0,170.0,R,84.0,82.5,,,,,,75.0,,Midwest,JC,2,,,7.5,0,0,1,1,1,1,1,0,1
RHP,73.0,180.0,R,85.0,83.8,2264.0,,,73.8,2435.0,74.4,2301.0,West,JC,3,,10.0,9.399999999999991,0,0,0,1,1,0,0,0,0
RHP,73.0,210.0,R,84.0,82.4,2092.0,77.5,1950.0,73.0,2385.0,71.0,2250.0,South,JC,4,4.900000000000006,9.400000000000006,11.400000000000006,0,0,0,0,0,0,0,0,0
RHP,72.0,175.0,R,87.7,85.8,1724.0,,,,,74.4,2020.0,South,D2,2,,,11.399999999999991,0,0,0,1,1,1,1,0,0
LHP,75.0,215.0,R,92.0,89.6,2246.0,81.5,1914.0,71.0,2278.0,75.4,2478.0,Midwest,JC,4,8.099999999999994,18.59999999999999,14.199999999999989,0,0,0,0,0,0,0,0,0
