primary_position,height,weight,throwing_hand,FastballVelocity (max),FastballVelo Range,FastballSpin Rate (avg),Changeup Velo Range,Changeup Spin Rate (avg),Curveball Velo Range,Curveball Spin Rate (avg),Slider Velo Range,Slider Spin Rate (avg),Region,group,num_pitches,fb_ch_velo_diff,fb_cb_velo_diff,fb_sl_velo_diff,FastballVelocity (max)_missing,FastballVelo Range_missing,FastballSpin Rate (avg)_missing,Changeup Velo Range_missing,Changeup Spin Rate (avg)_missing,Curveball Velo Range_missing,Curveball Spin Rate (avg)_missing,Slider Velo Range_missing,Slider Spin Rate (avg)_missing
RHP,74.0,145.0,R,83.0,82.5,1936.0,74.5,1576.0,73.0,1978.0,,,South,JC,3,8.0,9.5,,0,0,0,0,0,0,0,1,1
RHP,75.0,180.0,R,87.0,86.5,2352.0,,,,,77.0,2564.0,Northeast,Mid Major,2,,,9.5,0,0,0,1,1,1,1,0,0
RHP,72.0,155.0,R,82.0,79.5,,74.5,,64.0,,,,South,JC,3,5.0,15.5,,0,0,1,0,1,0,1,1,1
LHP,71.0,180.0,L,,78.5,,,,,,,,South,NAIA,1,,,,1,0,1,1,1,1,1,1,1
RHP,75.0,225.0,R,83.0,81.0,,72.5,,70.5,,69.5,,South,D3,4,8.5,10.5,11.5,0,0,1,0,1,0,1,0,1
RHP,73.0,197.0,R,94.3,92.8,2496.0,84.9,1972.0,75.2,2154.0,81.6,2585.0,Midwest,JC,4,7.899999999999992,17.599999999999994,11.200000000000005,0,0,0,0,0,0,0,0,0
LHP,72.0,145.0,L,84.3,82.8,2081.0,75.5,1610.0,70.8,2040.0,,2057.0,South,JC,3,7.299999999999997,12.0,,0,0,0,0,0,0,0,1,0
RHP,68.0,165.0,R,75.0,73.5,,72.0,,66.0,,,,Midwest,JC,3,1.5,7.5,,0,0,1,0,1,0,1,1,1
RHP,73.0,170.0,R,87.0,84.5,2105.0,78.0,2272.0,,,77.8,2295.0,South,D2,3,6.5,,6.700000000000003,0,0,0,0,0,1,1,0,0
RHP,72.0,210.0,R,89.0,88.2,2206.0,83.2,1916.0,76.0,2717.0,76.8,2466.0,Midwest,JC,4,5.0,12.200000000000005,11.400000000000006,0,0,0,0,0,0,0,0,0
RHP,72.0,205.0,R,,78.5,,,,67.5,,,,South,JC,2,,11.0,,1,0,1,1,1,0,1,1,1
RHP,75.0,195.0,R,88.0,86.5,2062.0,78.5,1685.0,69.5,2028.0,71.0,1799.0,West,Mid Major,4,8.0,17.0,15.5,0,0,0,0,0,0,0,0,0
RHP,74.0,195.0,R,83.0,81.5,,,,68.0,,,,Midwest,D3,2,,13.5,,0,0,1,1,1,0,1,1,1
RHP,73.0,172.0,R,85.0,84.0,2261.0,76.5,1459.0,71.4,2208.0,,,South,JC,3,7.5,12.599999999999994,,0,0,0,0,0,0,0,1,1
RHP,73.0,198.0,R,,81.0,,71.0,,69.0,,69.0,,Midwest,D3,4,10.0,12.0,12.0,1,0,1,0,1,0,1,0,1
RHP,73.0,162.0,R,85.0,84.0,,75.0,,,,74.0,,Northeast,JC,3,9.0,,10.0,0,0,1,0,1,1,1,0,1
RHP,77.0,180.0,R,,,,,,,,,,West,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,77.0,225.0,R,89.4,88.0,2338.0,75.0,,74.0,,78.7,2273.0,South,Mid Major,4,13.0,14.0,9.299999999999995,0,0,0,0,1,0,1,0,0
RHP,77.0,235.0,R,,,,,,,,,,South,Power 4,0,,,,1,1,1,1,1,1,1,1,1
RHP,73.0,190.0,R,,83.0,,78.0,,74.0,,74.0,,South,D2,4,5.0,9.0,9.0,1,0,1,0,1,0,1,0,1
RHP,75.0,190.0,R,88.0,86.0,2280.0,77.2,1762.0,74.0,1930.0,76.5,2254.0,West,Power 4,4,8.799999999999997,12.0,9.5,0,0,0,0,0,0,0,0,0
RHP,73.0,185.0,R,87.0,86.0,2312.0,77.5,1555.0,70.0,2156.0,,,Midwest,Mid Major,3,8.5,16.0,,0,0,0,0,0,0,0,1,1
RHP,73.0,201.0,R,82.6,81.0,1897.0,71.1,937.0,,,69.2,1116.0,Midwest,D2,3,9.900000000000006,,11.799999999999995,0,0,0,0,0,1,1,0,0
LHP,68.0,155.0,R,,,,,,,,,,Midwest,NAIA,0,,,,1,1,1,1,1,1,1,1,1
RHP,71.0,175.0,R,89.0,86.0,1862.0,75.5,1243.0,72.5,1627.0,73.9,1298.0,South,JC,4,10.5,13.5,12.099999999999994,0,0,0,0,0,0,0,0,0
RHP,74.0,165.0,R,,77.5,,69.0,,65.5,,,,South,Power 4,3,8.5,12.0,,1,0,1,0,1,0,1,1,1
RHP,71.0,200.0,R,82.0,81.2,2058.0,73.8,1704.0,67.5,,68.8,2245.0,South,JC,4,7.400000000000006,13.700000000000005,12.400000000000006,0,0,0,0,0,0,1,0,0
LHP,69.0,160.0,R,76.0,75.0,,68.5,,65.0,,,,Midwest,D2,3,6.5,10.0,,0,0,1,0,1,0,1,1,1
RHP,69.0,155.0,R,84.0,83.0,2152.0,75.5,,70.0,2293.0,74.0,2478.0,Northeast,Low Major,4,7.5,13.0,9.0,0,0,0,0,1,0,0,0,0
RHP,73.0,170.0,R,87.4,86.8,2322.0,78.9,1310.0,,,76.0,2272.0,West,Mid Major,3,7.899999999999992,,10.799999999999995,0,0,0,0,0,1,1,0,0
LHP,73.0,200.0,R,93.0,91.5,,81.0,,75.0,,79.5,,South,Power 4,4,10.5,16.5,12.0,0,0,1,0,1,0,1,0,1
RHP,75.0,205.0,R,88.0,85.5,2272.0,77.5,1725.0,64.8,1816.0,76.2,1871.0,South,JC,4,8.0,20.700000000000003,9.299999999999995,0,0,0,0,0,0,0,0,0
RHP,71.0,175.0,R,82.0,81.5,,,,74.0,,,,Midwest,NAIA,2,,7.5,,0,0,1,1,1,0,1,1,1
RHP,75.0,180.0,R,88.0,86.3,2149.0,78.5,2050.0,75.5,2026.0,76.3,2140.0,Northeast,Mid Major,4,7.799999999999997,10.799999999999995,10.0,0,0,0,0,0,0,0,0,0
RHP,69.0,165.0,R,88.3,87.8,2258.0,79.2,1860.0,74.0,2245.0,78.0,2478.0,West,Low Major,4,8.599999999999994,13.799999999999995,9.799999999999995,0,0,0,0,0,0,0,0,0
RHP,72.0,190.0,R,86.0,84.0,2031.0,76.5,1321.0,70.5,1945.0,76.0,2077.0,South,D3,4,7.5,13.5,8.0,0,0,0,0,0,0,0,0,0
RHP,70.0,200.0,R,93.0,90.5,2330.0,81.5,1951.0,79.5,2108.0,81.5,1609.0,South,Power 4,4,9.0,11.0,9.0,0,0,0,0,0,0,0,0,0
RHP,70.0,200.0,R,93.0,90.5,2330.0,81.5,1951.0,79.5,2108.0,81.5,1609.0,South,Mid Major,4,9.0,11.0,9.0,0,0,0,0,0,0,0,0,0
LHP,74.0,165.0,L,,,,,,,,,,Northeast,Low Major,0,,,,1,1,1,1,1,1,1,1,1
RHP,75.0,190.0,R,,,,,,,,,,Midwest,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,74.0,180.0,R,,,,,,,,,,Northeast,D3,0,,,,1,1,1,1,1,1,1,1,1
RHP,72.0,203.0,R,89.0,86.6,2192.0,79.6,1387.0,72.5,2365.0,81.1,2266.0,Northeast,Mid Major,4,7.0,14.099999999999994,5.5,0,0,0,0,0,0,0,0,0
RHP,73.0,205.0,R,86.0,84.5,,75.5,,69.5,,76.5,,Midwest,D2,4,9.0,15.0,8.0,0,0,1,0,1,0,1,0,1
RHP,72.0,160.0,R,81.4,81.0,2185.0,,,72.1,1687.0,,,Northeast,JC,2,,8.900000000000006,,0,0,0,1,1,0,0,1,1
RHP,73.0,185.0,R,90.0,89.0,2311.0,82.0,1907.0,74.0,2243.0,,,South,Mid Major,3,7.0,15.0,,0,0,0,0,0,0,0,1,1
RHP,74.0,165.0,R,89.0,87.5,2222.0,80.0,1936.0,76.5,1914.0,76.5,1881.0,Midwest,Mid Major,4,7.5,11.0,11.0,0,0,0,0,0,0,0,0,0
RHP,73.0,165.0,L,85.8,85.5,2001.0,81.0,,76.5,,75.3,2191.0,Midwest,D2,4,4.5,9.0,10.200000000000005,0,0,0,0,1,0,1,0,0
RHP,72.0,205.0,R,79.0,78.5,1889.0,71.0,1194.0,,,67.8,1676.0,West,JC,3,7.5,,10.700000000000005,0,0,0,0,0,1,1,0,0
LHP,72.0,188.0,L,87.1,85.2,2174.0,80.1,1736.0,73.5,2212.0,75.2,2332.0,South,JC,4,5.1000000000000085,11.700000000000005,10.0,0,0,0,0,0,0,0,0,0
LHP,72.0,165.0,L,89.0,86.5,2122.0,77.5,1691.0,75.0,1950.0,72.0,2150.0,Midwest,Mid Major,4,9.0,11.5,14.5,0,0,0,0,0,0,0,0,0
RHP,75.0,178.0,R,,84.0,,,,,,72.5,,South,Mid Major,2,,,11.5,1,0,1,1,1,1,1,0,1
RHP,74.0,180.0,R,,,,,,,,,,South,Power 4,0,,,,1,1,1,1,1,1,1,1,1
RHP,73.0,178.0,R,84.0,82.5,2074.0,77.5,,70.5,2410.0,71.0,,Midwest,JC,4,5.0,12.0,11.5,0,0,0,0,1,0,0,0,1
LHP,73.0,174.0,L,,,,,,,,,,South,Mid Major,0,,,,1,1,1,1,1,1,1,1,1
RHP,72.0,225.0,R,88.7,87.0,1996.0,83.5,1921.0,74.2,2124.0,77.2,2247.0,Northeast,Low Major,4,3.5,12.799999999999995,9.799999999999995,0,0,0,0,0,0,0,0,0
RHP,72.0,195.0,R,90.2,89.0,2334.0,82.0,2103.0,76.0,2667.0,78.5,2745.0,Northeast,Low Major,4,7.0,13.0,10.5,0,0,0,0,0,0,0,0,0
RHP,72.0,180.0,R,86.0,84.5,2210.0,74.6,1764.0,71.5,2180.0,69.0,2131.0,Midwest,D3,4,9.900000000000006,13.0,15.5,0,0,0,0,0,0,0,0,0
RHP,77.0,170.0,L,77.0,76.5,,74.5,,69.0,,,,South,D3,3,2.0,7.5,,0,0,1,0,1,0,1,1,1
RHP,73.0,185.0,R,86.4,85.5,2026.0,76.0,1731.0,69.0,1826.0,,,Northeast,D3,3,9.5,16.5,,0,0,0,0,0,0,0,1,1
LHP,77.0,200.0,L,83.4,81.4,2147.0,75.4,1745.0,71.5,2190.0,70.5,2145.0,Midwest,JC,4,6.0,9.900000000000006,10.900000000000006,0,0,0,0,0,0,0,0,0
RHP,73.0,190.0,L,82.0,80.2,1986.0,73.4,1466.0,68.0,2528.0,,,South,JC,3,6.799999999999997,12.200000000000005,,0,0,0,0,0,0,0,1,1
RHP,78.0,186.0,R,92.0,89.0,2408.0,81.0,2023.0,72.5,2135.0,77.5,2203.0,Midwest,Power 4,4,8.0,16.5,11.5,0,0,0,0,0,0,0,0,0
RHP,79.0,190.0,R,83.5,81.8,2192.0,,,,,72.0,2188.0,Northeast,D2,2,,,9.799999999999995,0,0,0,1,1,1,1,0,0
RHP,72.0,170.0,R,,76.0,,71.5,,63.0,,,,Northeast,D3,3,4.5,13.0,,1,0,1,0,1,0,1,1,1
RHP,75.0,225.0,R,86.0,84.0,2202.0,,1606.0,,1899.0,76.0,2583.0,Midwest,JC,2,,,8.0,0,0,0,1,0,1,0,0,0
RHP,73.0,170.0,R,87.0,84.2,1991.0,76.6,1700.0,69.2,1843.0,,,West,Mid Major,3,7.600000000000008,15.0,,0,0,0,0,0,0,0,1,1
RHP,70.0,190.0,L,92.1,89.8,2335.0,84.7,1928.0,73.7,2566.0,80.8,2459.0,West,Mid Major,4,5.099999999999994,16.099999999999994,9.0,0,0,0,0,0,0,0,0,0
RHP,74.0,205.0,R,90.0,88.8,2403.0,77.0,1434.0,76.8,2524.0,,,South,JC,3,11.799999999999995,12.0,,0,0,0,0,0,0,0,1,1
LHP,74.0,165.0,L,,,,,,,,,,West,Power 4,0,,,,1,1,1,1,1,1,1,1,1
LHP,70.0,145.0,L,75.9,73.8,1990.0,70.3,1798.0,62.0,2071.0,,,Midwest,JC,3,3.5,11.799999999999995,,0,0,0,0,0,0,0,1,1
RHP,73.0,205.0,R,91.0,89.5,2178.0,79.0,1652.0,72.5,2220.0,73.0,2054.0,Midwest,Power 4,4,10.5,17.0,16.5,0,0,0,0,0,0,0,0,0
LHP,71.0,210.0,L,,,,,,,,,,West,D2,0,,,,1,1,1,1,1,1,1,1,1
LHP,71.0,210.0,L,,,,,,,,,,West,Mid Major,0,,,,1,1,1,1,1,1,1,1,1
RHP,73.0,175.0,R,,,,,,,,,,South,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,73.0,170.0,R,,,,,,,,,,South,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,75.0,215.0,R,92.0,90.5,2045.0,82.5,1664.0,74.5,,79.3,2384.0,Midwest,Mid Major,4,8.0,16.0,11.200000000000005,0,0,0,0,0,0,1,0,0
RHP,75.0,215.0,R,88.3,87.2,2122.0,81.2,1641.0,72.0,2011.0,75.0,2180.0,Midwest,Power 4,4,6.0,15.200000000000005,12.200000000000005,0,0,0,0,0,0,0,0,0
LHP,71.0,155.0,R,74.3,72.5,1864.0,67.5,,57.8,1659.0,,,Northeast,D3,3,5.0,14.700000000000005,,0,0,0,0,1,0,0,1,1
LHP,71.0,165.0,R,80.0,79.0,1781.0,71.0,1700.0,68.5,2046.0,57.5,,Northeast,D3,4,8.0,10.5,21.5,0,0,0,0,0,0,0,0,1
LHP,75.0,170.0,R,84.6,83.2,2344.0,72.4,1933.0,66.0,1123.0,69.5,1033.0,Northeast,JC,4,10.799999999999995,17.200000000000003,13.700000000000005,0,0,0,0,0,0,0,0,0
RHP,74.0,190.0,L,81.8,79.5,2126.0,72.6,1786.0,64.0,2180.0,,,Midwest,NAIA,3,6.900000000000006,15.5,,0,0,0,0,0,0,0,1,1
RHP,73.0,185.0,R,88.1,87.0,2281.0,77.0,1052.0,73.5,2649.0,,,Northeast,Mid Major,3,10.0,13.5,,0,0,0,0,0,0,0,1,1
RHP,68.0,145.0,R,83.3,81.0,2133.0,76.0,1421.0,71.0,2252.0,73.5,2163.0,South,JC,4,5.0,10.0,7.5,0,0,0,0,0,0,0,0,0
LHP,69.0,175.0,L,81.0,79.0,,71.5,,68.0,,71.0,,Midwest,D2,4,7.5,11.0,8.0,0,0,1,0,1,0,1,0,1
RHP,71.0,175.0,R,84.3,83.2,2132.0,74.0,2179.0,68.5,2028.0,72.0,2236.0,Midwest,D3,4,9.200000000000005,14.700000000000005,11.200000000000005,0,0,0,0,0,0,0,0,0
RHP,72.0,160.0,R,85.5,84.6,2048.0,76.5,1877.0,67.0,1900.0,77.9,2169.0,South,D2,4,8.099999999999994,17.599999999999994,6.699999999999989,0,0,0,0,0,0,0,0,0
RHP,73.0,180.0,R,89.7,89.0,1862.0,76.5,,73.5,2162.0,,2234.0,Northeast,Low Major,3,12.5,15.5,,0,0,0,0,1,0,0,1,0
RHP,73.0,186.0,R,91.0,89.5,2332.0,78.3,2082.0,78.0,2765.0,75.0,2823.0,South,Power 4,4,11.200000000000005,11.5,14.5,0,0,0,0,0,0,0,0,0
RHP,75.0,205.0,R,86.0,83.0,,75.5,,70.0,,,,Northeast,Power 4,3,7.5,13.0,,0,0,1,0,1,0,1,1,1
RHP,72.0,200.0,R,87.0,84.8,2198.0,79.7,1506.0,71.3,2132.0,76.0,2148.0,Northeast,D2,4,5.099999999999994,13.5,8.799999999999997,0,0,0,0,0,0,0,0,0
LHP,69.0,162.0,L,74.0,73.0,,68.5,,61.5,,,,Northeast,D3,3,4.5,11.5,,0,0,1,0,1,0,1,1,1
LHP,74.0,230.0,L,80.0,78.5,1964.0,75.0,1388.0,68.8,1901.0,73.0,1894.0,Northeast,D3,4,3.5,9.700000000000005,5.5,0,0,0,0,0,0,0,0,0
RHP,72.0,175.0,R,89.0,87.0,2101.0,79.5,1851.0,76.0,2438.0,,,Northeast,Mid Major,3,7.5,11.0,,0,0,0,0,0,0,0,1,1
RHP,68.0,135.0,L,,,,,,,,,,Northeast,D3,0,,,,1,1,1,1,1,1,1,1,1
RHP,72.0,185.0,R,82.0,80.0,1801.0,73.5,1515.0,64.5,1507.0,,,Northeast,Low Major,3,6.5,15.5,,0,0,0,0,0,0,0,1,1
RHP,75.0,220.0,L,90.7,88.6,2188.0,,2052.0,74.5,,78.2,2087.0,West,Mid Major,3,,14.099999999999994,10.399999999999991,0,0,0,1,0,0,1,0,0
LHP,75.0,170.0,L,89.0,87.0,,75.0,,71.5,,,,West,Mid Major,3,12.0,15.5,,0,0,1,0,1,0,1,1,1
LHP,74.0,180.0,L,84.0,82.4,2064.0,74.5,1678.0,67.0,1703.0,64.5,1796.0,Midwest,D2,4,7.900000000000006,15.400000000000006,17.900000000000006,0,0,0,0,0,0,0,0,0
RHP,73.0,180.0,R,85.0,83.0,1944.0,77.1,1728.0,71.2,1718.0,,,West,JC,3,5.900000000000006,11.799999999999995,,0,0,0,0,0,0,0,1,1
RHP,68.0,145.0,R,,67.0,,61.5,,56.5,,,,South,JC,3,5.5,10.5,,1,0,1,0,1,0,1,1,1
LHP,76.0,195.0,R,82.0,80.8,2128.0,75.5,1937.0,66.5,2153.0,70.3,2476.0,Midwest,JC,4,5.299999999999997,14.299999999999995,10.5,0,0,0,0,0,0,0,0,0
RHP,73.0,197.0,R,85.0,81.5,2047.0,78.5,1570.0,71.5,2212.0,,,Northeast,D2,3,3.0,10.0,,0,0,0,0,0,0,0,1,1
RHP,71.0,175.0,R,80.0,78.8,1811.0,67.5,1482.0,,,,,Midwest,D3,2,11.299999999999995,,,0,0,0,0,0,1,1,1,1
RHP,72.0,190.0,R,,84.0,,77.5,,73.0,,72.0,,Midwest,D2,4,6.5,11.0,12.0,1,0,1,0,1,0,1,0,1
LHP,74.0,215.0,L,,,,,,,,,,Midwest,D3,0,,,,1,1,1,1,1,1,1,1,1
RHP,72.0,175.0,R,89.0,87.0,2180.0,80.5,1411.0,76.0,2256.0,72.5,2517.0,South,D2,4,6.5,11.0,14.5,0,0,0,0,0,0,0,0,0
RHP,77.0,215.0,R,93.9,92.7,2346.0,,,,,81.5,2172.0,West,Mid Major,2,,,11.200000000000005,0,0,0,1,1,1,1,0,0
RHP,74.0,178.0,R,78.4,77.1,1926.0,72.5,1746.0,65.5,2337.0,,,Midwest,D3,3,4.599999999999994,11.599999999999994,,0,0,0,0,0,0,0,1,1
LHP,68.0,134.0,L,73.0,70.5,,,,60.5,,,,South,JC,2,,10.0,,0,0,1,1,1,0,1,1,1
RHP,71.0,220.0,R,76.7,76.0,1550.0,70.3,1488.0,66.2,1854.0,,,West,D3,3,5.700000000000003,9.799999999999995,,0,0,0,0,0,0,0,1,1
RHP,71.0,180.0,R,89.0,87.0,,79.0,,73.5,,74.0,,South,Mid Major,4,8.0,13.5,13.0,0,0,1,0,1,0,1,0,1
RHP,73.0,170.0,L,76.2,75.0,1630.0,68.5,1363.0,65.5,1583.0,,,Midwest,D3,3,6.5,9.5,,0,0,0,0,0,0,0,1,1
RHP,79.0,235.7,R,89.0,85.5,1925.0,,1634.0,75.0,2014.0,71.8,1815.0,South,JC,3,,10.5,13.700000000000005,0,0,0,1,0,0,0,0,0
RHP,73.0,190.0,R,,,,,,,,,,South,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,72.0,190.0,R,85.0,83.3,1943.0,75.5,1464.0,,,71.6,1846.0,South,JC,3,7.799999999999997,,11.700000000000005,0,0,0,0,0,1,1,0,0
RHP,72.0,185.0,R,87.0,84.0,,,,69.0,,63.5,,Midwest,Low Major,3,,15.0,20.5,0,0,1,1,1,0,1,0,1
RHP,77.0,195.0,R,69.0,68.0,,60.0,,58.0,,,,West,JC,3,8.0,10.0,,0,0,1,0,1,0,1,1,1
LHP,67.0,160.9,L,83.1,80.6,1991.0,70.4,1526.0,70.1,1968.0,,,West,D2,3,10.199999999999989,10.5,,0,0,0,0,0,0,0,1,1
LHP,76.0,200.0,L,82.0,81.0,2279.0,71.4,1602.0,65.2,2357.0,70.8,2167.0,Midwest,NAIA,4,9.599999999999994,15.799999999999995,10.200000000000005,0,0,0,0,0,0,0,0,0
RHP,75.0,220.0,R,90.0,89.0,2302.0,73.3,1825.0,71.0,2107.0,65.5,,Midwest,JC,4,15.700000000000005,18.0,23.5,0,0,0,0,0,0,0,0,1
RHP,78.0,185.0,R,86.0,84.0,1829.0,79.0,1570.0,73.0,1876.0,74.4,1885.0,Midwest,D3,4,5.0,11.0,9.599999999999994,0,0,0,0,0,0,0,0,0
LHP,76.0,175.0,L,90.0,87.5,,77.0,,73.5,,78.0,,South,Power 4,4,10.5,14.0,9.5,0,0,1,0,1,0,1,0,1
RHP,74.0,230.0,R,89.7,88.0,2401.0,84.9,1567.0,76.7,2267.0,,,Midwest,JC,3,3.0999999999999943,11.299999999999995,,0,0,0,0,0,0,0,1,1
RHP,74.0,192.0,R,93.0,92.0,2016.0,73.5,1533.0,80.5,1519.0,,,Midwest,D2,3,18.5,11.5,,0,0,0,0,0,0,0,1,1
LHP,72.0,190.0,L,80.0,76.5,1976.0,65.6,1468.0,68.0,1737.0,,,South,Low Major,3,10.900000000000006,8.5,,0,0,0,0,0,0,0,1,1
RHP,75.0,185.0,R,83.0,81.0,2060.0,74.2,1322.0,71.2,2417.0,69.5,,Northeast,D3,4,6.799999999999997,9.799999999999995,11.5,0,0,0,0,0,0,0,0,1
RHP,70.0,165.0,L,86.4,85.0,2005.0,70.8,,69.8,1583.0,,,Northeast,D3,3,14.200000000000005,15.200000000000005,,0,0,0,0,1,0,0,1,1
RHP,72.0,215.0,R,85.5,84.8,2023.0,77.2,1558.0,74.2,2008.0,70.0,1863.0,South,D2,4,7.599999999999994,10.599999999999994,14.799999999999995,0,0,0,0,0,0,0,0,0
RHP,72.0,188.0,R,90.0,87.0,2235.0,76.5,1638.0,74.5,2538.0,76.0,2203.0,South,D2,4,10.5,12.5,11.0,0,0,0,0,0,0,0,0,0
LHP,68.0,194.9,L,76.5,75.0,1958.0,69.2,2095.0,67.1,2081.0,,,Northeast,D3,3,5.799999999999997,7.900000000000006,,0,0,0,0,0,0,0,1,1
RHP,68.0,187.0,R,81.3,80.2,1872.0,73.6,1533.0,62.0,1998.0,69.0,1946.0,Northeast,D3,4,6.6000000000000085,18.200000000000003,11.200000000000005,0,0,0,0,0,0,0,0,0
LHP,74.0,175.0,R,,,,,,,,,,West,Mid Major,0,,,,1,1,1,1,1,1,1,1,1
RHP,74.0,165.0,R,80.0,79.0,1907.0,76.5,1687.0,66.4,2195.0,,,Midwest,JC,3,2.5,12.599999999999994,,0,0,0,0,0,0,0,1,1
RHP,70.0,160.0,R,,,,,,,,,,Midwest,D2,0,,,,1,1,1,1,1,1,1,1,1
RHP,77.0,225.0,L,96.0,93.5,,77.5,,80.5,,86.5,,Northeast,Power 4,4,16.0,13.0,7.0,0,0,1,0,1,0,1,0,1
LHP,76.0,165.0,L,77.0,76.0,,,,,,70.5,,Northeast,D2,2,,,5.5,0,0,1,1,1,1,1,0,1
RHP,73.0,200.0,R,87.0,86.0,2330.0,80.5,1569.0,69.2,2029.0,77.0,2421.0,Midwest,JC,4,5.5,16.799999999999997,9.0,0,0,0,0,0,0,0,0,0
RHP,75.0,190.0,R,,84.0,,78.5,,74.0,,74.0,,Northeast,Low Major,4,5.5,10.0,10.0,1,0,1,0,1,0,1,0,1
LHP,72.0,185.0,L,79.0,78.0,,,,68.0,,,,South,JC,2,,10.0,,0,0,1,1,1,0,1,1,1
RHP,71.0,170.0,R,,,,,,,,,,South,JC,0,,,,1,1,1,1,1,1,1,1,1
LHP,72.0,155.0,L,82.0,81.0,2106.0,76.0,1795.0,67.5,2044.0,,,West,Mid Major,3,5.0,13.5,,0,0,0,0,0,0,0,1,1
RHP,72.0,165.0,R,88.0,86.0,,,,74.0,,78.0,,South,D2,3,,12.0,8.0,0,0,1,1,1,0,1,0,1
RHP,73.0,180.0,R,,87.0,,81.5,,76.0,,,,South,Mid Major,3,5.5,11.0,,1,0,1,0,1,0,1,1,1
RHP,75.0,195.0,R,85.1,83.1,1943.0,,1393.0,74.0,1762.0,,,South,D2,2,,9.099999999999994,,0,0,0,1,0,0,0,1,1
RHP,76.0,225.0,R,86.0,84.0,1883.0,78.8,1226.0,72.0,1531.0,72.0,1452.0,South,D2,4,5.200000000000003,12.0,12.0,0,0,0,0,0,0,0,0,0
LHP,76.0,225.0,R,,,,,,,,,,South,Low Major,0,,,,1,1,1,1,1,1,1,1,1
RHP,71.0,140.0,R,,76.0,,71.5,,62.5,,,,West,NAIA,3,4.5,13.5,,1,0,1,0,1,0,1,1,1
RHP,74.0,195.0,R,89.0,86.0,,79.5,,73.5,,,,South,JC,3,6.5,12.5,,0,0,1,0,1,0,1,1,1
RHP,72.0,180.0,R,86.0,85.0,,77.5,,71.5,,76.5,,South,JC,4,7.5,13.5,8.5,0,0,1,0,1,0,1,0,1
RHP,72.0,185.0,R,87.2,85.7,2143.0,76.5,1849.0,73.1,2594.0,74.2,2308.0,Midwest,JC,4,9.200000000000005,12.600000000000009,11.5,0,0,0,0,0,0,0,0,0
LHP,79.0,185.0,L,81.0,79.0,1886.0,70.5,1836.0,67.5,1792.0,70.5,1885.0,Midwest,JC,4,8.5,11.5,8.5,0,0,0,0,0,0,0,0,0
LHP,73.0,215.0,R,,87.5,,77.5,,72.5,,,,Midwest,Power 4,3,10.0,15.0,,1,0,1,0,1,0,1,1,1
RHP,73.0,175.0,R,88.0,87.0,1956.0,79.5,1396.0,73.0,2073.0,75.8,2026.0,Northeast,Mid Major,4,7.5,14.0,11.200000000000005,0,0,0,0,0,0,0,0,0
RHP,68.0,150.0,R,,,,,,,,,,Northeast,D3,0,,,,1,1,1,1,1,1,1,1,1
RHP,70.0,165.0,R,,,,,,,,,,Midwest,NAIA,0,,,,1,1,1,1,1,1,1,1,1
RHP,70.0,170.0,R,,80.0,,,,69.0,,,,South,JC,2,,11.0,,1,0,1,1,1,0,1,1,1
RHP,74.0,180.0,R,91.0,90.0,1974.0,81.0,2007.0,81.5,2272.0,,,Midwest,JC,3,9.0,8.5,,0,0,0,0,0,0,0,1,1
RHP,72.0,185.0,R,,,,,,,,,,South,JC,0,,,,1,1,1,1,1,1,1,1,1
LHP,71.0,145.0,L,90.0,88.5,1938.0,83.0,1450.0,73.5,2497.0,,,South,Power 4,3,5.5,15.0,,0,0,0,0,0,0,0,1,1
RHP,74.0,215.0,R,86.0,84.5,,77.5,,71.5,,,,West,Power 4,3,7.0,13.0,,0,0,1,0,1,0,1,1,1
RHP,76.0,205.0,R,90.1,88.2,2245.0,81.8,1514.0,77.0,2169.0,,,Northeast,Low Major,3,6.400000000000006,11.200000000000005,,0,0,0,0,0,0,0,1,1
RHP,73.0,190.0,R,81.0,79.5,1803.0,73.0,1451.0,68.5,1908.0,73.0,1939.0,Midwest,D2,4,6.5,11.0,6.5,0,0,0,0,0,0,0,0,0
RHP,73.0,195.0,R,82.1,81.5,1835.0,68.7,1611.0,67.5,,,,Northeast,D2,3,12.799999999999995,14.0,,0,0,0,0,0,0,1,1,1
LHP,76.0,190.0,L,84.2,82.7,2112.0,78.6,1659.0,,,72.7,2135.0,West,Mid Major,3,4.1000000000000085,,10.0,0,0,0,0,0,1,1,0,0
LHP,72.0,215.0,L,80.2,79.3,1936.0,71.1,1815.0,,,72.4,2073.0,Northeast,D3,3,8.200000000000003,,6.8999999999999915,0,0,0,0,0,1,1,0,0
RHP,73.0,185.0,R,92.6,86.6,2171.0,75.8,1477.0,72.0,1836.0,,,Midwest,JC,3,10.799999999999995,14.599999999999994,,0,0,0,0,0,0,0,1,1
RHP,68.0,155.0,R,83.4,82.7,2140.0,74.5,1737.0,71.5,2143.0,70.5,2125.0,South,JC,4,8.200000000000003,11.200000000000005,12.200000000000005,0,0,0,0,0,0,0,0,0
